2018-06-26 13:12:25.4208||INFO|BookingApp3.Controllers.ValuesController|Public Method : AddAsync 
2018-06-26 13:12:25.4208||INFO|BookingApp3.Controllers.ValuesController|Public Method : Attach 
2018-06-26 13:12:25.4341||INFO|BookingApp3.Controllers.ValuesController|Public Method : Update 
2018-06-26 13:12:25.4341||INFO|BookingApp3.Controllers.ValuesController|Public Method : Remove 
2018-06-26 13:12:25.4542||INFO|BookingApp3.Controllers.ValuesController|Public Method : AddRange 
2018-06-26 13:12:25.4657||INFO|BookingApp3.Controllers.ValuesController|Public Method : AddRangeAsync 
2018-06-26 13:12:25.4657||INFO|BookingApp3.Controllers.ValuesController|Public Method : AttachRange 
2018-06-26 13:12:25.4814||INFO|BookingApp3.Controllers.ValuesController|Public Method : UpdateRange 
2018-06-26 13:12:25.4814||INFO|BookingApp3.Controllers.ValuesController|Public Method : RemoveRange 
2018-06-26 13:12:25.4814||INFO|BookingApp3.Controllers.ValuesController|Public Method : AddRange 
2018-06-26 13:12:25.4986||INFO|BookingApp3.Controllers.ValuesController|Public Method : AddRangeAsync 
2018-06-26 13:12:25.4986||INFO|BookingApp3.Controllers.ValuesController|Public Method : AttachRange 
2018-06-26 13:12:25.4986||INFO|BookingApp3.Controllers.ValuesController|Public Method : UpdateRange 
2018-06-26 13:12:25.5166||INFO|BookingApp3.Controllers.ValuesController|Public Method : RemoveRange 
2018-06-26 13:12:25.5166||INFO|BookingApp3.Controllers.ValuesController|Public Method : Find 
2018-06-26 13:12:25.5296||INFO|BookingApp3.Controllers.ValuesController|Public Method : FindAsync 
2018-06-26 13:12:25.5296||INFO|BookingApp3.Controllers.ValuesController|Public Method : FindAsync 
2018-06-26 13:12:25.5296||INFO|BookingApp3.Controllers.ValuesController|Public Method : Find 
2018-06-26 13:12:25.5485||INFO|BookingApp3.Controllers.ValuesController|Public Method : FindAsync 
2018-06-26 13:12:25.5485||INFO|BookingApp3.Controllers.ValuesController|Public Method : FindAsync 
2018-06-26 13:12:25.5600||INFO|BookingApp3.Controllers.ValuesController|Public Method : ToString 
2018-06-26 13:12:25.5600||INFO|BookingApp3.Controllers.ValuesController|Public Method : Equals 
2018-06-26 13:12:25.5600||INFO|BookingApp3.Controllers.ValuesController|Public Method : GetHashCode 
2018-06-26 13:12:25.5813||INFO|BookingApp3.Controllers.ValuesController|Public Method : GetType 
2018-06-26 13:12:25.5813||INFO|BookingApp3.Controllers.ValuesController|Public Class : Assets 
2018-06-26 13:12:25.6002||INFO|BookingApp3.Controllers.ValuesController|Public Method : get_AId 
2018-06-26 13:12:25.6059||INFO|BookingApp3.Controllers.ValuesController|Public Method : set_AId 
2018-06-26 13:12:25.6059||INFO|BookingApp3.Controllers.ValuesController|Public Method : get_AName 
2018-06-26 13:12:25.6059||INFO|BookingApp3.Controllers.ValuesController|Public Method : set_AName 
2018-06-26 13:12:25.6231||INFO|BookingApp3.Controllers.ValuesController|Public Method : get_AAdd1 
2018-06-26 13:12:25.6231||INFO|BookingApp3.Controllers.ValuesController|Public Method : set_AAdd1 
2018-06-26 13:12:25.6371||INFO|BookingApp3.Controllers.ValuesController|Public Method : get_AAdd2 
2018-06-26 13:12:25.6371||INFO|BookingApp3.Controllers.ValuesController|Public Method : set_AAdd2 
2018-06-26 13:12:25.6371||INFO|BookingApp3.Controllers.ValuesController|Public Method : get_Type 
2018-06-26 13:12:25.6607||INFO|BookingApp3.Controllers.ValuesController|Public Method : set_Type 
2018-06-26 13:12:25.6607||INFO|BookingApp3.Controllers.ValuesController|Public Method : get_OId 
2018-06-26 13:12:25.6739||INFO|BookingApp3.Controllers.ValuesController|Public Method : set_OId 
2018-06-26 13:12:25.6739||INFO|BookingApp3.Controllers.ValuesController|Public Method : get_O 
2018-06-26 13:12:25.6918||INFO|BookingApp3.Controllers.ValuesController|Public Method : set_O 
2018-06-26 13:12:25.6918||INFO|BookingApp3.Controllers.ValuesController|Public Method : get_Room 
2018-06-26 13:12:25.7021||INFO|BookingApp3.Controllers.ValuesController|Public Method : set_Room 
2018-06-26 13:12:25.7021||INFO|BookingApp3.Controllers.ValuesController|Public Method : ToString 
2018-06-26 13:12:25.7021||INFO|BookingApp3.Controllers.ValuesController|Public Method : Equals 
2018-06-26 13:12:25.7198||INFO|BookingApp3.Controllers.ValuesController|Public Method : GetHashCode 
2018-06-26 13:12:25.7198||INFO|BookingApp3.Controllers.ValuesController|Public Method : GetType 
2018-06-26 13:12:25.7333||INFO|BookingApp3.Controllers.ValuesController|Public Class : JwtIssuerOptions 
2018-06-26 13:12:25.7333||INFO|BookingApp3.Controllers.ValuesController|Public Method : get_Issuer 
2018-06-26 13:12:25.7333||INFO|BookingApp3.Controllers.ValuesController|Public Method : set_Issuer 
2018-06-26 13:12:25.7526||INFO|BookingApp3.Controllers.ValuesController|Public Method : get_Subject 
2018-06-26 13:12:25.7620||INFO|BookingApp3.Controllers.ValuesController|Public Method : set_Subject 
2018-06-26 13:12:25.7620||INFO|BookingApp3.Controllers.ValuesController|Public Method : get_Audience 
2018-06-26 13:12:25.7790||INFO|BookingApp3.Controllers.ValuesController|Public Method : set_Audience 
2018-06-26 13:12:25.7790||INFO|BookingApp3.Controllers.ValuesController|Public Method : get_Expiration 
2018-06-26 13:12:25.7945||INFO|BookingApp3.Controllers.ValuesController|Public Method : get_NotBefore 
2018-06-26 13:12:25.8160||INFO|BookingApp3.Controllers.ValuesController|Public Method : get_IssuedAt 
2018-06-26 13:12:25.8270||INFO|BookingApp3.Controllers.ValuesController|Public Method : get_ValidFor 
2018-06-26 13:12:25.8270||INFO|BookingApp3.Controllers.ValuesController|Public Method : set_ValidFor 
2018-06-26 13:12:25.8556||INFO|BookingApp3.Controllers.ValuesController|Public Method : get_JtiGenerator 
2018-06-26 13:12:25.8556||INFO|BookingApp3.Controllers.ValuesController|Public Method : get_SigningCredentials 
2018-06-26 13:12:25.8974||INFO|BookingApp3.Controllers.ValuesController|Public Method : set_SigningCredentials 
2018-06-26 13:12:25.9157||INFO|BookingApp3.Controllers.ValuesController|Public Method : ToString 
2018-06-26 13:12:25.9268||INFO|BookingApp3.Controllers.ValuesController|Public Method : Equals 
2018-06-26 13:12:25.9346||INFO|BookingApp3.Controllers.ValuesController|Public Method : GetHashCode 
2018-06-26 13:12:25.9346||INFO|BookingApp3.Controllers.ValuesController|Public Method : GetType 
2018-06-26 13:12:25.9533||INFO|BookingApp3.Controllers.ValuesController|Public Class : Owner 
2018-06-26 13:12:25.9658||INFO|BookingApp3.Controllers.ValuesController|Public Method : get_OwnerId 
2018-06-26 13:12:25.9658||INFO|BookingApp3.Controllers.ValuesController|Public Method : set_OwnerId 
2018-06-26 13:12:25.9830||INFO|BookingApp3.Controllers.ValuesController|Public Method : get_Name 
2018-06-26 13:12:26.0043||INFO|BookingApp3.Controllers.ValuesController|Public Method : set_Name 
2018-06-26 13:12:26.0043||INFO|BookingApp3.Controllers.ValuesController|Public Method : get_Email 
2018-06-26 13:12:26.0191||INFO|BookingApp3.Controllers.ValuesController|Public Method : set_Email 
2018-06-26 13:12:26.0191||INFO|BookingApp3.Controllers.ValuesController|Public Method : get_Passcode 
2018-06-26 13:12:26.0328||INFO|BookingApp3.Controllers.ValuesController|Public Method : set_Passcode 
2018-06-26 13:12:26.0328||INFO|BookingApp3.Controllers.ValuesController|Public Method : get_Assets 
2018-06-26 13:12:26.0490||INFO|BookingApp3.Controllers.ValuesController|Public Method : set_Assets 
2018-06-26 13:12:26.0490||INFO|BookingApp3.Controllers.ValuesController|Public Method : ToString 
2018-06-26 13:12:26.0655||INFO|BookingApp3.Controllers.ValuesController|Public Method : Equals 
2018-06-26 13:12:26.0655||INFO|BookingApp3.Controllers.ValuesController|Public Method : GetHashCode 
2018-06-26 13:12:26.0850||INFO|BookingApp3.Controllers.ValuesController|Public Method : GetType 
2018-06-26 13:12:26.0948||INFO|BookingApp3.Controllers.ValuesController|Public Class : Room 
2018-06-26 13:12:26.0948||INFO|BookingApp3.Controllers.ValuesController|Public Method : get_RId 
2018-06-26 13:12:26.1086||INFO|BookingApp3.Controllers.ValuesController|Public Method : set_RId 
2018-06-26 13:12:26.1086||INFO|BookingApp3.Controllers.ValuesController|Public Method : get_RNo 
2018-06-26 13:12:26.1220||INFO|BookingApp3.Controllers.ValuesController|Public Method : set_RNo 
2018-06-26 13:12:26.1220||INFO|BookingApp3.Controllers.ValuesController|Public Method : get_RRate 
2018-06-26 13:12:26.1399||INFO|BookingApp3.Controllers.ValuesController|Public Method : set_RRate 
2018-06-26 13:12:26.1399||INFO|BookingApp3.Controllers.ValuesController|Public Method : get_RCategory 
2018-06-26 13:12:26.1568||INFO|BookingApp3.Controllers.ValuesController|Public Method : set_RCategory 
2018-06-26 13:12:26.1568||INFO|BookingApp3.Controllers.ValuesController|Public Method : get_RStatus 
2018-06-26 13:12:26.1708||INFO|BookingApp3.Controllers.ValuesController|Public Method : set_RStatus 
2018-06-26 13:12:26.1708||INFO|BookingApp3.Controllers.ValuesController|Public Method : get_AId 
2018-06-26 13:12:26.1839||INFO|BookingApp3.Controllers.ValuesController|Public Method : set_AId 
2018-06-26 13:12:26.1839||INFO|BookingApp3.Controllers.ValuesController|Public Method : get_A 
2018-06-26 13:12:26.1839||INFO|BookingApp3.Controllers.ValuesController|Public Method : set_A 
2018-06-26 13:12:26.1997||INFO|BookingApp3.Controllers.ValuesController|Public Method : ToString 
2018-06-26 13:12:26.1997||INFO|BookingApp3.Controllers.ValuesController|Public Method : Equals 
